address	unit	tw07_name	tw07_file	line	score	conf	evidence
800153CC	streammanagerhole	GenericActor_CreateActorInstance	GenericActor.cpp	479	4	low	calls:1 strcpy; size x1.3
80017320	char_tex_manager	AptStreamSupport::ReleaseSubInstance	uiAptStreamSupport.cpp	1704	8	low	calls:2 strlen,strncmp; size x3.2
800178C8	char	Character_UpdateFeetTerrainInfo	char.c	464	15	med	flt:1; calls:1 Character_GetTerrainHeightAndNormal; callers:3 Character_SetPosition,Character_SetupFor; size x2.3
80017BB8	char	Character_UpdateTestPoints	char.c	511	9	low	callers:3 Character_SetPosition,Character_SetupFor; size x1.8
80017EF4	char	Character_UpdateAnimation	char.c	900	24	med	calls:8 CharacterState_UpdateSKAState,Character_PlaceFeetOnGround,Ch; size x1.7
80018710	char	Character_SetPreferedPos	char.c	1223	4	low	calls:1 SKEL_UpdateState; size x1.1
800187CC	char	Character_PlaceFeetOnGround	char.c	1241	18	med	flt:1; calls:1 Ter_GetEnclosingGroundData; callers:4 CharacterState_UpdateSKAState,Character_; size x1.8
80019234	char	Character_SetPosition	char.c	1356	19	med	calls:4 Character_PlaceFeetOnGround,Character_UpdateFeetTerrainInfo,; callers:1 STATEFUNC_RemoveBallInit; size x1.6
8001966C	char	Character_UpdateAll	char.c	2407	4	low	calls:1 Character_UpdateAnimation; size x1.6
8001B208	char	Character_PostStreamInit	char.c	2607	4	low	flt:1; file:char.c; size x3.2
8001C724	char	Character_SelectGameShotType	char.c	3023	9	low	callers:3 GameModeReplay_SetupNextGolfer,STATEFUNC; size x1.4
8001C774	char	Character_SelectGameClub	char.c	3084	9	low	callers:3 GameModeReplay_SetupNextGolfer,STATEFUNC; size x1.0
8001C7FC	char	Character_SetEmotion	char.c	3097	6	low	callers:1 CharacterState_SetTapInState; size x1.0; gap 1/1
8001C804	char	Character_AlignShotWithTarget	char.c	3123	12	med	callers:8 GM_CheckForShotChanges,STATEFUNC_GreenMo; size x1.7
8001C860	char	Character_SetupForShot	char.c	3262	23	high	calls:5 Character_PlaceFeetOnGround,Character_UpdateFeetTerrainInfo,; callers:1 Character_UpdateAnimation; size x1.2
8001D4A4	char	Emi_DebugPrint	HLAudEmitter.c	823	4	low	calls:1 sprintf; size x1.4
8001D8DC	char	Character_PrepareForRendering	char.c	3527	6	low	callers:2 STATEFUNC_InitialFlyByInit,STATEFUNC_Pre; size x2.2
8001F79C	mtalib	GM_PgaTourSim_ComputeVarianceForAIRamping	PGATourSimulation.c	977	4	low	calls:1 Misc_RandFunc; size x2.5
8001F804	mtalib	GM_PgaTourSim_RubberBandTiger	PGATourSimulation.c	3373	4	low	calls:1 memcpy; size x1.4
80021ADC	skalib	FindState	RNAFX.cpp	932	4	low	calls:1 strcmp; size x2.1
80022828	skalib	FE_CrAP_UpdateSaleInfo	FE_CrAPUtils.c	99	4	low	calls:1 Misc_RandFunc; size x1.7
80022EC8	skalib	FE_CrAP_RandomizeHair	FE_CrAPUtils.c	953	4	low	calls:1 Misc_RandFunc; size x1.0
80023F7C	skalib	GenericActor_RenderActor	GenericActor.cpp	645	6	low	calls:2 Mem_cpy,strcmp; size x0.5
800254C8	skalib	GenericActor_RenderActorShadow	GenericActor.cpp	733	4	low	calls:1 Mem_cpy; size x2.8
80025808	skalib	FindState	RNAFX.cpp	949	4	low	calls:1 strcmp; size x2.2
800263C8	skalib	FE_CrAP_LoadVitalsSettingsfromStream	FE_CrAPUtils.c	1896	4	low	calls:1 Mem_cpy; size x3.3
80026844	skalib	FE_CrAP_RemoveCustomAnimation	FE_CrAPUtils.c	2594	4	low	calls:1 strcmp; size x1.6
800279C0	Skeleton	SKEL_UpdateState	skeleton_shared.c	749	7	low	calls:1 SKEL_TransformBones; callers:1 Character_UpdateAnimation; size x1.3
80028314	Skeleton	SKEL_CreateIKSkeleton	skeleton_shared.c	851	8	low	flt:2; calls:1 SKEL_SetIKSolutionWeight; size x3.9
80028564	Skeleton	SKEL_LoadFromMem	skeleton_shared.c	1034	8	low	calls:2 SKEL_TransformBones,memset; size x2.3
8002B030	Golfer	AIBrain::Think	AI_Brain.cpp	379	7	low	calls:2 Mem_cpy,Physics_ShotImpact; size x0.8
8002B59C	Golfer	Physics_InitModule	Physics.c	5667	8	low	flt:4; size x2.7
8002D074	Golfer	CSpectatorBehavior::AddTunerControls	spectatorBehavior.cpp	994	4	low	flt:2; size x1.5
8002E310	Golfer	GolfCamera_InitTigerVisionCam	GoGolfCam.c	6170	8	low	flt:2; calls:1 Mem_cpy; size x1.1
8002E760	Golfer	GolfCamera_IsMatrixCamActive	GoGolfCam.c	13129	6	low	callers:2 GolfCamera_ProcessBallFlightCamera,STATE; size x2.0
8002EE1C	Golfer	FE_CrAP_RandomizeBrow	FE_CrAPUtils.c	1048	4	low	calls:1 Misc_RandFunc; size x1.3
800364AC	Skin	UIGameFace::AppendCurrentClothingToAssetList	UI_GameFace.cpp	3451	4	low	calls:1 memset; size x1.3
800377FC	Skin	UIGameFace::ControlLogo	UI_GameFace.cpp	4215	8	low	calls:2 memcpy,memset; size x1.6
80039FF8	GoDynamicCam	DynamicCam_Init	GoDynamicCam.c	1530	8	low	file:godynamiccam.c; callers:2 GO_vInitFE,GO_vInitIG; size x1.3
8003A074	GoDynamicCam	DynamicCam_DeInit	GoDynamicCam.c	1550	3	low	size x2.1; gap 1/1
8003A148	GoDynamicCam	DynamicCam_ProcessScript	GoDynamicCam.c	1615	8	low	callers:3 CamScript_RunFEScript,CamScript_RunScrip; size x0.7
8003A7C8	GoDynamicCam	DynamicCam_ChooseScript	GoDynamicCam.c	1814	16	med	calls:1 Misc_RandFunc; callers:9 ComicCam_CheckForCameraSwitch,ComicCam_S; size x1.9
8003A8C4	GoDynamicCam	DynamicCam_ChooseScriptByName	GoDynamicCam.c	1874	6	low	callers:1 GolfCamera_SwitchCrAPCamera; size x1.5; gap 1/1
8003A950	GoDynamicCam	DynamicCam_ChooseScriptInSequence	GoDynamicCam.c	1903	16	med	calls:1 Misc_RandFunc; callers:8 GolfCamera_ChooseReactionCam,GolfCamera_; size x1.5
8003AC50	GoDynamicCam	DynamicCam_TrackPercent	GoDynamicCam.c	2241	8	low	calls:2 DynamicCam_GetLocation,GameEffects_BallUpdatesThisFrame; size x1.2
8003ADF8	GoDynamicCam	DynamicCam_TrackOffset	GoDynamicCam.c	2305	8	low	calls:2 DynamicCam_GetLocation,GameEffects_BallUpdatesThisFrame; size x2.8
8003B028	GoDynamicCam	DynamicCam_TrackBallVelocityLag	GoDynamicCam.c	2415	8	low	calls:2 DynamicCam_GetLocation,powf; size x1.7
8003B534	GoDynamicCam	DynamicCam_TrackBallVelocityTight	GoDynamicCam.c	2648	4	low	calls:1 DynamicCam_GetLocation; size x1.6
8003B6D0	GoDynamicCam	DynamicCam_TrackFixed	GoDynamicCam.c	2735	4	low	calls:1 DynamicCam_GetLocation; size x1.1
8003B728	GoDynamicCam	DynamicCam_GetLocation	GoDynamicCam.c	3440	11	med	calls:2 CamScript_PutBackOnFairway,DynamicCam_GetLocation; callers:1 DynamicCam_GetLocation; size x1.5
8003BDBC	GoDynamicCam	DynamicCam_ChooseSequence	GoDynamicCam.c	3771	10	med	calls:1 Misc_RandFunc; callers:2 GolfCamera_ChooseReactionCam,GolfCamera_; size x1.3
8003C2E0	GoDynamicCam	DynamicCam_ChoosePreFlightSequence	GoDynamicCam.c	3948	17	med	calls:2 Misc_RandFunc,Ter_CheckObjectAndHazardObstruction; callers:3 GolfCamera_InitPreShotCamera,GolfCamera_; size x1.2
8003C800	GoDynamicCam	FE_CrAP_RandomizeFacialHair	FE_CrAPUtils.c	1114	4	low	calls:1 Misc_RandFunc; size x2.3
8003C9D0	GoDynamicCam	DynamicCam_ChoosePairedSequenceOrCamera	GoDynamicCam.c	4220	9	low	callers:3 GolfCamera_ChooseReactionCam,GolfCamera_; size x2.6
8003D414	GoDynamicCam	DynamicCam_AddHeightOffset	GoDynamicCam.c	5080	4	low	calls:1 GameEffects_BallUpdatesThisFrame; size x1.7
8003D9AC	GoDynamicCam	DynamicCam_GetSmoothBallLocation	GoDynamicCam.c	5527	11	med	flt:1; callers:3 CamScript_GetLookAtPoint,CamScript_RunSc; size x1.9
8003DCE8	gocamscripts	CamScript_RunScript	GoCamScripts.c	360	36	high	calls:9 CamScript_CheckOutOfBounds,CamScript_GetLookAtPoint,CamScrip; callers:7 CameraScript_GoToNewScript,CameraScript_; size x1.2
8003E624	gocamscripts	CamScript_RunFEScript	GoCamScripts.c	788	15	med	calls:3 CamScript_GetLookAtPoint,CamScript_SplineCameras,GameEffects; callers:1 GolfCamera_SwitchCrAPCamera; size x1.4
8003EA50	gocamscripts	CamScript_RunFlybyCamera	GoCamScripts.c	953	15	med	calls:3 CamScript_GetLookAtPoint,CamScript_SplineCameras,CameraScrip; callers:1 GolfCamera_ProcessPostShotCamera; size x1.2
8003EE68	gocamscripts	CamScript_SmoothTerrainHeight	GoCamScripts.c	1230	9	low	flt:1; calls:1 GOLFERSTATE_GetCurrentState; callers:1 CamScript_RunScript; size x1.3
8003F064	gocamscripts	CamScript_AccelerateTime	GoCamScripts.c	1388	6	low	callers:2 CamScript_RunFlybyCamera,CamScript_RunSc; size x0.9
8003F2E0	gocamscripts	CamScript_Fade	GoCamScripts.c	1795	7	low	callers:3 CamScript_RunFlybyCamera,CamScript_RunSc; size x0.5
8003F518	gocamscripts	CamScript_LerpPercentOfFlightCameras	GoCamScripts.c	2073	4	low	callers:2 CamScript_RunFEScript,CamScript_RunScrip; size x0.5
8003FD54	gocamscripts	CamScript_LerpFixedTargetCameras	GoCamScripts.c	2145	10	med	calls:1 CamScript_GetLookAtPoint; callers:2 CamScript_RunFEScript,CamScript_RunScrip; size x1.5
8004017C	gocamscripts	CamScript_LerpSwingToBallFlightCameras	GoCamScripts.c	2222	10	med	calls:1 CamScript_GetLookAtPoint; callers:2 CamScript_RunFEScript,CamScript_RunScrip; size x1.3
8004048C	gocamscripts	CamScript_SplineCameras	GoCamScripts.c	2371	17	med	calls:2 CamScript_GetLookAtPoint,GameEffects_FieldOfViewChange; callers:3 CamScript_RunFEScript,CamScript_RunFlyby; size x2.1
800407D4	gocamscripts	CamScript_ArcCameras	GoCamScripts.c	2490	5	low	callers:2 CamScript_RunFEScript,CamScript_RunScrip; size x0.6
80040A58	gocamscripts	CamScript_CircleCameras	GoCamScripts.c	2517	10	low	calls:1 GameEffects_FieldOfViewChange; callers:2 CamScript_RunFEScript,CamScript_RunScrip; size x0.9
80040CF0	gocamscripts	CamScript_PickArcDirection	GoCamScripts.c	2581	10	med	flt:1; calls:2 CamScript_GetLookAtPoint,Ter_PointInOOBNetwork; size x2.0
80040EF0	gocamscripts	CamScript_GetLookAtPoint	GoCamScripts.c	2674	24	high	calls:3 CameraScript_LagAimMarker,GOLFERSTATE_GetCurrentState,GameEf; callers:6 CamScript_PutBackOnFairway,CamScript_Run; size x1.8
800418B0	gocamscripts	CameraScript_CalculateShoulderShake	GoCamScripts.c	3141	5	low	flt:1; callers:1 CamScript_GetLookAtPoint; size x2.9
80041A24	gocamscripts	CameraScript_LagAimMarker	GoCamScripts.c	3249	9	low	callers:3 CamScript_GetLookAtPoint,GolfCamera_Proc; size x1.9
80041EA8	gocamscripts	CameraScript_LagBallFlight	GoCamScripts.c	3412	11	med	calls:2 GameEffects_BallUpdatesThisFrame,powf; callers:1 CamScript_GetLookAtPoint; size x2.0
800422C4	gocamscripts	CameraScript_LagTargetPoint	GoCamScripts.c	3587	7	low	calls:1 GameEffects_BallUpdatesThisFrame; callers:1 CamScript_GetLookAtPoint; size x1.6
8004255C	gocamscripts	CameraScript_OffsetLookVector	GoCamScripts.c	3700	6	low	callers:2 CamScript_GetLookAtPoint,CameraScript_La; size x1.8
80042604	gocamscripts	CameraScript_RecordCurrentCam	GoCamScripts.c	3750	26	high	str:1 'ON THE FLY CAM'; calls:1 GameEffects_FieldOfViewChange; callers:8 CamScript_PutBackOnFairway,CameraScript_; size x1.2
800427E8	gocamscripts	CameraScript_UpdateLandingEstimate	GoCamScripts.c	3821	11	med	calls:2 Ter_CheckForGroundCollision,powf; callers:1 CameraScript_GoToNewScript; size x1.9
80042B6C	gocamscripts	CameraScript_GoToNewScript	GoCamScripts.c	4000	23	high	calls:5 CamScript_RunScript,CameraScript_UpdateLandingEstimate,GOLFE; callers:1 CamScript_RunFlybyCamera; size x1.8
80042EDC	gocamscripts	CameraScript_InterpToNewScript	GoCamScripts.c	4211	28	high	calls:4 CameraScript_IsDefaultSwingCam,CameraScript_RecordCurrentCam; callers:20 CamScript_PutBackOnFairway,CamScript_Upd; size x1.5
80043388	gocamscripts	CameraScript_SnapToScript	GoCamScripts.c	4464	12	med	callers:4 CamScript_GetLookAtPoint,CamScript_RunFl; size x0.9
80043420	gocamscripts	CameraScript_GetBallHeightWithMaxHeight	GoCamScripts.c	4498	5	low	callers:1 CamScript_GetLookAtPoint; size x0.7; gap 1/2
8004349C	gocamscripts	CameraScript_KeepPointInView	GoCamScripts.c	4527	6	low	callers:1 CamScript_GetLookAtPoint; size x1.7; gap 2/2
800437F8	gocamscripts	CameraScript_IsDefaultSwingCam	GoCamScripts.c	4677	6	low	callers:2 CameraScript_InterpToNewScript,GolfCamer; size x1.5
80043920	gocamscripts	CameraScript_DontUpdateCameraDuringSlowMo	GoCamScripts.c	4723	7	low	calls:1 GameEffects_BallUpdatesThisFrame; callers:1 CamScript_RunScript; size x1.1
800439E4	gocamscripts	CamScript_CheckObstructedCamera	GoCamScripts.c	4767	7	low	calls:1 Ter_CheckObjectAndHazardObstruction; callers:1 CamScript_RunScript; size x2.0
80043AFC	gocamscripts	CamScript_CheckOutOfBounds	GoCamScripts.c	4819	7	low	calls:1 CamScript_PutBackOnFairway; callers:1 CamScript_RunScript; size x1.6
80043C74	gocamscripts	CamScript_GetCameraOnFairwayPos	GoCamScripts.c	4910	6	low	callers:2 CamScript_PutBackOnFairway,DynamicCam_Ge; size x2.0
800441E4	gocamscripts	CamScript_CheckFlagCollision	GoCamScripts.c	5156	6	low	callers:1 CamScript_RunScript; size x2.0; gap 1/1
800442E8	gocamscripts	CamScript_PutBackOnFairway	GoCamScripts.c	5205	25	high	calls:4 CamScript_GetLookAtPoint,CameraScript_InterpToNewScript,Came; callers:3 CamScript_CheckOutOfBounds,CamScript_Run; size x1.4
800444BC	gocamscripts	CamScript_UpdateFairwayCam	GoCamScripts.c	5280	11	med	calls:2 CamScript_GetLookAtPoint,CameraScript_InterpToNewScript; callers:1 CamScript_RunScript; size x1.5
800447DC	gocamscripts	CamScript_GuessBestPlayableHeight	GoCamScripts.c	5472	6	low	callers:2 CamScript_UpdateFairwayCam,CameraScript_; size x1.2
80044BD4	gocamscripts	CamScript_KeepAboveGround	GoCamScripts.c	5757	13	med	calls:1 Ter_CheckForGroundCollision; callers:3 CamScript_RunScript,GolfCamera_ProcessGr; size x2.2
80045038	gocamscripts	CameraScript_WillGolferBeOccludedInThisView	GoCamScripts.c	6126	28	high	calls:4 CamScript_RunScript,CameraScript_InterpToNewScript,Mem_cpy,T; callers:5 ComicCam_CheckForCameraSwitch,ComicCam_S; size x1.4
80045558	gocamscripts	STATEFUNC_InitialFlyByUpdate	stateFunc.c	5463	4	low	calls:1 EVENT_Trigger; size x2.9
80046288	GoDynObj	DynObj_InitForHole	GoDynObj.c	457	8	low	flt:5; size x1.6
800468B4	GoDynObj	DynObj_bAltShotDrawBall	GoDynObj.c	578	4	low	calls:1 GOLFERSTATE_GetCurrentState; size x1.2
80046928	GoDynObj	DynObj_RenderBalls	GoDynObj.c	713	4	low	calls:1 GOLFERSTATE_GetCurrentState; size x1.4
80046B8C	GoDynObj	DynObj_DrawBallMarkers	GoDynObj.c	778	4	low	calls:1 GOLFERSTATE_GetCurrentState; size x1.6
80047EF0	GoDynObj	DynObj_TeeAdd	GoDynObj.c	1682	9	low	callers:3 CamAnimDebug_UpdateCamAnimRun,STATEFUNC_; size x1.3
8004B5A8	GoTerrainCollision	Ter_PointInFreeDropNetwork	GoTerrainCollision.c	601	9	low	callers:3 GM_CheckForBallOOB,PlaceBall_IsValidDrop; size x1.3
8004B664	GoTerrainCollision	Ter_PointInOOBNetwork	GoTerrainCollision.c	655	12	med	callers:4 GM_ReplaceOOBBall,GM_ShowPostShotAnimati; size x1.5
8004C134	GoTerrainCollision	Ter_FindDropLocation	GoTerrainCollision.c	875	10	med	calls:1 Ter_CheckForDropLocation; callers:2 GM_BumpBallForObstructions,GM_ReplaceOOB; size x2.2
8004C590	GoTerrainCollision	Ter_CheckForDropLocation	GoTerrainCollision.c	1297	19	med	calls:4 Ter_CheckObjectAndHazardObstruction,Ter_GetSupportingGroundD; callers:1 Physics_Simulate; size x1.1
8004C798	GoTerrainCollision	Ter_IsValidDropSurface	GoTerrainCollision.c	1362	6	low	callers:2 Physics_Simulate,PlaceBall_IsValidDropLo; size x1.8
8004D5C0	GoTerrainCollision	Ter_GetHighestGroundHeight	GoTerrainCollision_Headgate.c	649	5	low	callers:2 Physics_DropBall,Physics_InitBall; size x0.8
8004D620	GoTerrainCollision	Ter_GetSupportingGroundHeight	GoTerrainCollision_Headgate.c	700	5	low	callers:3 GolfCamera_ProcessPostShotCamera,Physics; size x0.2
8004D838	GoTerrainCollision	Ter_GetSupportingWorldMaterial	GoTerrainCollision_Headgate.c	777	7	low	callers:3 Physics_DropBall,Physics_StopBall,PlaceB; size x0.6
8004D890	GoTerrainCollision	Ter_GetSupportingGroundData	GoTerrainCollision_Headgate.c	789	9	low	callers:3 Physics_GetShotData,PlaceBall_IsValidDro; size x1.0
8004D9A8	GoTerrainCollision	Ter_GetEnclosingGroundHeight	GoTerrainCollision_Headgate.c	821	9	low	callers:5 GM_MovePlayerToBall,GolfCamera_InitZoomT; size x0.4
8004D9E0	GoTerrainCollision	Ter_GetEnclosingGroundData	GoTerrainCollision_Headgate.c	835	14	med	flt:1; callers:4 Character_PlaceFeetOnGround,GM_ShowPostS; size x1.8
80050C2C	Ball	Physics_ForceBallInHole	Physics.c	863	5	low	flt:1; callers:1 Physics_CheckTerrainCollisions; size x1.0
80050CAC	Ball	Physics_OutOfBounds	Physics.c	875	13	med	calls:1 EVENT_Trigger; callers:3 Physics_CheckTerrainCollisions,Physics_F; size x1.4
80050F88	Ball	Physics_EstimateShotPower	Physics.c	1180	4	low	calls:1 Ter_GetSupportingGroundData; size x1.8
800510EC	Ball	Physics_GetLiePowerPercentage	Physics.c	1233	5	low	callers:2 CameraScript_UpdateLandingEstimate,GolfC; size x4.6
800512BC	Ball	Physics_GetShotData	Physics.c	1312	11	med	flt:2; calls:1 Ter_GetSupportingGroundData; callers:1 Physics_ShotImpact; size x1.6
80051A18	Ball	Physics_ThrowBall	Physics.c	1521	5	low	flt:1; size x1.9; gap 1/1
80051AF4	Ball	Physics_ShotImpact	Physics.c	1568	14	med	calls:2 EVENT_Trigger,Physics_GetShotData; callers:2 BreakLine_Reset,SW_vImpact; size x3.6
80052088	Ball	Physics_GetSurfaceInfo	Physics.c	1933	10	med	flt:1; calls:2 Physics_OutOfBounds,Ter_GetEnclosingGroundData; size x1.9
80052598	Ball	Physics_HandleCollision	Physics.c	2166	9	low	flt:1; calls:1 atan2f; callers:1 Physics_CheckTerrainCollisions; size x3.0
80053240	Ball	Physics_CheckPreConditionsForCollision	Physics.c	2863	7	low	flt:2; calls:1 Physics_OutOfBounds; callers:1 Physics_FixBallHeight; size x0.3
80053594	Ball	Physics_SetLie	Physics.c	3084	14	med	calls:2 EVENT_Trigger,Misc_RandFunc; callers:2 Physics_DropBall,Physics_StopBall; size x1.2
8005418C	Ball	Physics_FixBallHeight	Physics.c	3573	20	med	flt:3; calls:2 Physics_OutOfBounds,Ter_GetEnclosingGroundHeight; callers:2 Physics_QuickSimulate,Physics_StopBall; size x3.7
80054340	Ball	Physics_StopBall	Physics.c	3657	22	high	calls:4 EVENT_Trigger,Physics_FixBallHeight,Physics_SetLie,Ter_GetSu; callers:2 Physics_CheckTerrainCollisions,Physics_Q; size x1.7
80054450	Ball	Physics_CheckTerrainCollisions	Physics.c	3742	23	high	calls:5 EVENT_Trigger,Physics_HandleCollision,Physics_OutOfBounds,Ph; callers:1 Physics_QuickSimulate; size x3.7
80054A10	Ball	Physics_GetDistanceToCup	Physics.c	4009	6	low	callers:1 Physics_QuickSimulate; size x1.6; gap 1/1
80054A6C	Ball	Physics_InitShotData	Physics.c	4015	6	low	callers:2 STATEFUNC_PreShotInit,STATEFUNC_ShotSetu; size x2.1
80054D28	Ball	GolfCamera_ProcessSpecialMomentsCamera	GoGolfCam.c	9693	5	low	flt:1; calls:1 atan2f; size x0.8
800554A8	Ball	Physics_QuickSimulate	Physics.c	4549	14	med	flt:2; calls:3 Physics_CheckTerrainCollisions,Physics_FixBallHeight,Physics; callers:1 Physics_Simulate; size x15.7
8005567C	Ball	Physics_Simulate	Physics.c	4677	23	high	flt:1; calls:3 Physics_QuickSimulate,Ter_CheckForDropLocation,Ter_IsValidDr; callers:3 CamAnimDebug_UpdateCamAnimRun,GM_Simulat; size x1.9
800557B4	Ball	Physics_TimedSimulation	Physics.c	4811	6	low	flt:1; calls:1 Physics_QuickSimulate; size x1.6
8005587C	Ball	Physics_DropBall	Physics.c	4920	28	high	flt:5; calls:2 Physics_SetLie,Ter_GetSupportingWorldMaterial; callers:6 CamAnimDebug_UpdateCamAnimRun,GM_BumpBal; size x2.0
800559BC	Ball	Physics_SetBallPosition	Physics.c	5056	5	low	flt:1; callers:1 CamAnimDebug_UpdateCamAnimRun; size x1.4
80055AA8	Ball	Physics_InitBall	Physics.c	5085	12	med	callers:4 CamAnimDebug_UpdateCamAnimRun,GM_BumpBal; size x2.0
80055FC8	Ball	CSpectatorBehavior::BallBounce	spectatorBehavior.cpp	683	4	low	calls:1 Misc_RandFunc; size x2.2
800564D8	PasswordManager	TU_LoadTunerXML_StartCallback	InGameTune.c	2087	4	low	calls:1 strcmp; size x1.0
80057DA4	PasswordManager	FE_CrAP_GetAssetEquippedTokensForCurrentUser	FE_CrAPDB.c	5354	4	low	calls:1 memset; size x1.3
80057F18	fe_craputils	FE_CrAP_InitCrAPInfo	FE_CrAPUtils.c	2282	10	med	str:1 'NoLogoName'; size x1.6
80058560	fe_craputils	RNAX::cgUtilGetArraySize	CGFXShader.cpp	403	4	low	calls:1 strcpy; size x1.9
800587A8	fe_craputils	FindSampler	RNAFX.cpp	1512	4	low	calls:1 strcmp; size x1.1
800589F8	Swing	SW_vInitModule	Swing.c	1416	10	med	flt:14; calls:1 SW_vUIInit; callers:1 GO_vInitIG; size x15.3
80058FA4	Swing	SW_vInitSwing	Swing.c	2314	6	low	callers:2 STATEFUNC_ShotSetupInit,STATEFUNC_SwingI; size x1.6
80059050	Swing	SW_vStateInitBackSwing	Swing.c	2383	4	low	calls:1 CharacterState_UpdateSKAState; size x1.8
800591A0	Swing	SW_ProcessStateIdleSwingAnalogStick	Swing.c	2443	4	low	calls:1 EVENT_Trigger; size x1.2
8005934C	Swing	SW_ProcessStateBackSwingAnalogStick	Swing.c	2661	9	low	flt:1; calls:2 CharacterState_UpdateSKAState,EVENT_Trigger; size x0.8
80059A40	Swing	SW_vStateInitBackSwingFigit	Swing.c	3073	6	low	flt:1; calls:1 Character_UpdateAnimation; size x1.3
80059ACC	Swing	SW_vStateBackSwingFigit	Swing.c	3105	6	low	flt:1; calls:1 EVENT_Trigger; size x1.2
80059CE0	Swing	SW_vStateDownSwing	Swing.c	3220	8	low	calls:2 EVENT_Trigger,SW_vImpact; size x3.4
80059EB4	Swing	SW_KillVibration	Swing.c	3417	6	low	callers:1 STATEFUNC_SimulateExit; size x1.1; gap 1/1
80059F44	Swing	SW_UpdateVibration	Swing.c	3445	9	low	callers:3 STATEFUNC_ShowYardageUpdate,STATEFUNC_Si; size x1.3
8005A080	Swing	SW_vUIInit	Swing.c	3690	20	med	str:2 'clubback'; size x1.8
8005A0E0	Swing	SW_vUIBlurReset	Swing.c	3710	6	low	callers:2 STATEFUNC_ReplaySwingInit,STATEFUNC_Repl; size x2.7
8005AD20	Swing	SW_vUIAdjustClub	Swing.c	4381	6	low	flt:3; size x0.9
8005AEE0	Swing	SW_vImpact	Swing.c	4543	21	high	calls:3 Mem_cpy,Physics_ShotImpact,REPLAY_Play; callers:3 STATEFUNC_GreenWatchRollInit,STATEFUNC_R; size x3.9
8005B154	Swing	SW_vSetSwingStrength	Swing.c	4883	3	low	size x2.3; gap 1/1
8005B250	Swing	SW_vCalculateShotPower	Swing.c	4964	7	low	flt:2; callers:1 SW_vImpact; size x1.0
8005B64C	Swing	SW_vGetShotPower	Swing.c	5190	6	low	callers:2 CameraScript_UpdateLandingEstimate,GolfC; size x1.7
